date,population,admission,release
2020-03-01,101877.2613463498,2060.0829674878755,1731.8963296970776
2020-03-02,101997.20439439698,1850.172711077619,3379.8616796624274
2020-03-03,101347.70877300554,2732.312004216912,3028.4904059496903
2020-03-04,101048.44696469544,2718.884932481232,2510.452533964375
2020-03-05,101058.88587319729,2520.439061513831,3229.6309653369244
2020-03-06,100855.71525788959,3027.8737954073877,2984.925293068017
2020-03-07,101082.88859683026,3214.2402986753623,1361.4655287582523
2020-03-08,101622.52181231415,1901.4737442421413,1599.3586739195428
2020-03-09,101654.57942295934,1641.7247523066576,3354.803923270674
2020-03-10,100960.81404509876,2763.6224534560824,2885.989229918049
2020-03-11,100870.52675581629,2794.349376533006,3291.6005410207395
2020-03-12,100380.17296407078,2803.9277837579643,2840.304652426574
2020-03-13,100124.58697859304,2587.3186669488477,2907.510713032635
2020-03-14,99721.65419176851,2504.0779262081064,1361.9568668787895
2020-03-15,100113.67525109783,1753.2670730374073,1586.0180524027946
2020-03-16,100079.83510741568,1552.1779087206214,3856.7281973303316
2020-03-17,98064.56742750159,1843.8753724887372,3529.0082697940998
2020-03-18,96215.23453019622,1679.6753724887374,3134.4008086278145
2020-03-19,94484.46402148266,1405.5770786257376,3018.79996829168
2020-03-20,92736.86017943578,1271.196126244785,2812.2848167765283
2020-03-21,91115.58967072223,1191.014308062967,1001.6237056654171
2020-03-22,90991.13633372585,876.2703686690274,1029.067555932797
2020-03-23,90681.05198068667,718.4832028936266,2689.6742050276844
2020-03-24,88973.66080946567,985.2161574390809,2541.155434720676
2020-03-25,87415.38819885075,982.8828241057477,2199.387119702361
2020-03-26,86113.01577138601,897.5146922376159,1947.8236276388686
2020-03-27,85163.8496931276,999.5861208090445,1919.585532400774
2020-03-28,84158.85028153588,915.502787475711,677.3011889664299
2020-03-29,84295.15390024717,817.2936965666202,744.0325020977431
2020-03-30,84248.92418562515,698.1361208090447,1787.5880576532988
2020-03-31,83318.0944710031,859.0361208090445,1717.5349175566805
2020-04-01,82509.11952691246,910.7532101810253,1871.4642653827675
2020-04-02,81569.36680504408,932.7115435143586,1698.9047415732434
2020-04-03,80907.14781333439,919.1986466889616,1660.6423858733876
2020-04-04,80050.20154889744,804.680969921285,700.7383454693473
2020-04-05,80015.47750668271,666.0143032546183,675.7050121360139
2020-04-06,79969.82013113465,630.0476365879517,1582.9758454693474
2020-04-07,79254.07942225326,869.6726365879515,1432.8805171865192
2020-04-08,78706.87154165469,878.0818064721213,1431.7343136438499
2020-04-09,78172.36850304644,890.7341688990898,1607.2956439725997
2020-04-10,77485.66901949255,1100.0961604187455,1086.5034639304195
2020-04-11,77445.70823612741,1047.376013898599,550.5430262199818
2020-04-12,77719.82876589359,824.6635559861413,563.5172686442243
2020-04-13,77834.91899262946,678.9652189573164,1501.1448554882747
2020-04-14,77173.27514693367,835.7169188834065,1360.6107645791838
2020-04-15,76717.4237254803,905.2843431258308,1318.649170376285
2020-04-16,76297.36034750521,896.9191257345265,1376.1346404617552
2020-04-17,75843.88425585492,923.4918821447828,1289.1763071284217
2020-04-18,75522.64427531572,966.3946599225607,619.8276960173108
2020-04-19,75738.51262810986,836.1960488114497,651.2443626839774
2020-04-20,75838.130980904,746.6960488114496,1428.6414025810175
2020-04-21,75438.3454083442,1030.8559512963523,1251.6473611560934
2020-04-22,75235.86254459522,1048.8311640737709,1270.1949080536406
2020-04-23,75034.98249469903,992.2218036821961,1249.572685831418
2020-04-24,74822.10691810733,1020.9299859520446,1273.4086507436987
2020-04-25,74720.28704327001,1170.922109239716,631.4514926240408
2020-04-26,75038.36278809082,950.1939041115107,651.6939168664651
2020-04-27,75220.60065412374,833.9158738084805,1509.674652797201
2020-04-28,74779.08000644814,1070.1206717882783,1319.6192526418006
2020-04-29,74634.66146222467,1144.3993813301026,1538.737631554614
2020-04-30,74198.56609150347,1107.5092198977281,1436.187923952275
2020-05-01,73903.00524459177,1141.4842198977283,1297.3602120584344
2020-05-02,73702.3418373372,1096.8583432653998,719.673032571255
2020-05-03,74040.94424204843,1057.4421039491604,668.8617677491206
2020-05-04,74345.13103411144,973.0485598121381,1595.8894844768372
2020-05-05,73841.14004839669,1214.8453852089635,1272.968315368168
2020-05-06,73765.8157293486,1197.6439963200748,1185.7540296538825
2020-05-07,73829.89400770309,1248.3323080083862,1378.1279113277644
2020-05-08,73806.9079823058,1324.2020170152541,1378.867921559079
2020-05-09,73675.18627244074,1251.8256988735038,663.2140754052328
2020-05-10,74085.797895909,1074.2423655401703,667.2731663143237
2020-05-11,74374.55497392273,954.2445300423349,2015.1022719309292
2020-05-12,73980.03949393891,1618.240638100943,1379.1516114802685
2020-05-13,73894.45447238554,1293.5665899268947,1425.1924844961413
2020-05-14,73896.23056194327,1428.343574053879,1377.8654642941215
2020-05-15,73949.91574241008,1431.5506447609498,1327.3654642941217
2020-05-16,74166.53274105875,1543.482462942768,816.6836461123033
2020-05-17,74579.78610334377,1228.1805981409032,871.0169794456367
2020-05-18,74767.03946562877,1056.3756048885411,1774.461423890081
2020-05-19,74399.09838346933,1409.4211353814403,1512.5169794456365
2020-05-20,74463.40730130991,1574.5758972862025,1612.8381915668488
2020-05-21,76569.73310226733,1497.970313529857,1636.405015021172
2020-05-22,76376.70949707538,1507.1314098292146,1499.6896304057875
2020-05-23,76539.38644133398,1664.8896515874567,879.4808891470465
2020-05-24,77046.72096135013,1389.1154091632138,886.2872994034566
2020-05-25,77365.74351555434,1206.0598536076586,874.4039660701234
2020-05-26,77662.23749832998,1171.5646155124205,1909.6956327367902
2020-05-27,77390.54966292379,1600.5189997918046,1556.6069940606515
2020-05-28,77356.07990646483,1547.3295452940167,1735.9432577969153
